number_of_line_of_code,average_number_of_lines_of_code,average_cyclomatic_complexity_number,average_token_count,function_count,warning_count,function_rate,number_of_line_of_code_rate
1259,24.5,8.1,215.9,46,6,0.13,0.29
552,20.3,5.5,131.3,23,2,0.09,0.47
3650,77.3,18.6,815.4,47,15,0.32,0.76
977,74.4,17.6,730.5,13,5,0.38,0.72
979,15.7,2.4,138,55,1,0.02,0.08
638,26.4,6.3,240.3,23,2,0.09,0.12
2616,29.4,6,276.3,85,8,0.09,0.33
531,23.1,6.5,252.4,22,4,0.18,0.61
1252,33.1,6.8,399.4,36,4,0.11,0.33
738,23.7,5,174.2,29,1,0.03,0.36
199,0,0,0,1,0,0,0
674,24.5,3.3,264.8,26,0,0,0
212,22.6,4.8,213.8,9,1,0.11,0.33
42,0,0,0,1,0,0,0
187,33,9.2,393.8,5,2,0.4,0.78
813,18.8,5.1,139.6,34,5,0.15,0.65
269,21.9,2.6,220.3,12,0,0,0
269,21.9,2.6,220.3,12,0,0,0
6635,9,2.5,61.9,622,7,0.01,0.05
316,15.5,2.9,138.4,19,1,0.05,0.37
1062,27.1,4.8,246.8,35,4,0.11,0.46
260,21.5,2.5,234.2,11,0,0,0
638,26.4,6.3,240.3,23,2,0.09,0.12
4120,29.1,6.5,247.7,137,19,0.14,0.49
316,15.5,2.9,138.4,19,1,0.05,0.37
,,,,,,,
1156,23.8,4.2,200.9,40,3,0.07,0.35
1760,73.9,15.5,583.3,23,1,0.04,0.67
487,41.3,5.1,367.3,11,0,0,0
212,12.1,4.1,112.3,16,1,0.06,0.33
1629,33.1,8.9,203.5,46,7,0.15,0.36
898,13.3,1.5,116.4,57,0,0,0
346,13.8,3,102.7,24,1,0.04,0.19
346,13.8,3,102.7,24,1,0.04,0.19
739,9.3,1.2,93.1,64,0,0,0
604,297.5,104.5,2222.5,2,1,0.5,0.99
3158,43.2,11.4,473.1,69,14,0.2,0.57
2324,23.6,6.4,154.1,88,6,0.07,0.3
736,35.3,12.6,220.4,20,5,0.25,0.71
269,21.9,2.6,220.3,12,0,0,0
969,20.4,5.2,202.2,46,5,0.11,0.43
2597,24.8,6,143.8,96,7,0.07,0.53
2772,21.7,6.5,124.3,113,14,0.12,0.46
838,17.9,2.5,167.1,44,0,0,0
228,23.3,3.7,310.4,9,0,0,0
85,8.2,1.9,107.4,9,0,0,0
442,8.8,2.7,81.3,38,0,0,0
3403,28.4,5.7,252.7,114,9,0.08,0.24
1341,15.3,2.8,170.6,80,1,0.01,0.09
1470,10,4,66.8,145,8,0.06,0.23
772,5.6,1.6,32.2,99,0,0,0
300,23.2,3.4,105.3,12,0,0,0
13,0,0,0,1,0,0,0
1760,73.9,15.5,583.3,23,1,0.04,0.67
1151,16.1,5.3,128,56,4,0.07,0.5
801,22.8,2.4,266.9,33,0,0,0
492,12.6,4.2,87.4,37,2,0.05,0.23
212,12.1,4.1,112.3,16,1,0.06,0.33
1927,35.8,4.7,364.5,49,2,0.04,0.37
370,23.7,7.3,246.9,15,3,0.2,0.35
1151,16.1,5.3,128,56,4,0.07,0.5
819,9.1,1.8,106.1,89,0,0,0
557,8.6,1.1,99.7,60,0,0,0
25,3.2,1,23.2,5,0,0,0
224,0,0,0,1,0,0,0
265,10.9,1.9,109.7,18,0,0,0
212,12.1,4.1,112.3,16,1,0.06,0.33
1026,15.8,4.4,105.9,61,6,0.1,0.52
706,46.2,13.6,375.1,14,3,0.21,0.64
7080,57.6,13.2,286.9,118,28,0.24,0.78
1293,58.6,8.5,678.2,21,3,0.14,0.51
772,5.6,1.6,32.2,99,0,0,0
98,29.5,5.5,211,2,0,0,0
634,30.2,5.2,115,20,0,0,0
416,6.9,1.9,56,58,1,0.02,0.37
2324,23.6,6.4,154.1,88,6,0.07,0.3
73,5.9,1.8,45.1,9,0,0,0
2068,16,2.4,146,118,0,0,0
2324,23.6,6.4,154.1,88,6,0.07,0.3
1689,47.5,13,345,34,9,0.26,0.67
2506,6.4,1.7,53.4,335,0,0,0
1345,41.5,11.7,573.5,32,6,0.19,0.52
2328,36.2,8.2,320,57,9,0.16,0.49
1345,41.5,11.7,573.5,32,6,0.19,0.52
1689,47.5,13,345,34,9,0.26,0.67
932,31.9,10.5,336.8,27,7,0.26,0.63
116,11.1,2,71.2,9,0,0,0
2553,16.7,4,173.6,142,7,0.05,0.26
,,,,,,,
123,18.2,5,123.5,4,0,0,0
1688,21.4,2.9,187,77,3,0.04,0.23
63,5.6,1.1,37.3,9,0,0,0
1711,35.5,12.2,272.9,48,14,0.29,0.66
818,14.7,4.5,99.3,52,4,0.08,0.22
1151,16.1,5.3,128,56,4,0.07,0.5
674,24.5,3.3,264.8,26,0,0,0
1459,14,6,137.9,84,5,0.06,0.34
2461,9,3.4,57.6,269,10,0.04,0.17
3448,24.8,6.3,206.1,138,20,0.14,0.41
3448,24.8,6.3,206.1,138,20,0.14,0.41
392,14.9,1.9,112.6,26,0,0,0
457,23.9,3.7,207.3,15,0,0,0
303,10.5,2.9,58.1,18,0,0,0
273,87,12.3,4146.7,3,1,0.33,0.58
618,26,5.5,153.3,20,2,0.1,0.62
662,10.6,1.1,110.5,8,0,0,0
2461,9,3.4,57.6,269,10,0.04,0.17
2461,9,3.4,57.6,269,10,0.04,0.17
2461,9,3.4,57.6,269,10,0.04,0.17
2900,9.1,2,90.3,276,0,0,0
273,87,12.3,4146.7,3,1,0.33,0.58
576,26.2,4.5,257.4,21,2,0.1,0.24
137,10.8,3,66.2,12,0,0,0
2188,17.1,4.3,119.9,119,3,0.03,0.19
324,11,3.3,84.6,25,0,0,0
3650,77.3,18.6,815.4,47,15,0.32,0.76
1653,19.3,4.3,154.6,77,4,0.05,0.24
1027,14.8,4.1,137.1,61,3,0.05,0.28
1293,58.6,8.5,678.2,21,3,0.14,0.51
634,27.8,5.3,311.2,22,1,0.05,0.23
1689,47.5,13,345,34,9,0.26,0.67
547,76.9,29.4,737.7,7,5,0.71,0.89
206,22.1,3.9,191.5,8,1,0.12,0.66
2900,9.1,2,90.3,276,0,0,0
2709,12.4,4.5,125.9,161,8,0.05,0.32
1653,19.3,4.3,154.6,77,4,0.05,0.24
16,5.7,1.7,27.3,3,0,0,0
402,10.9,4.6,96.5,26,1,0.04,0.21
117,9.9,1.9,81.6,10,0,0,0
303,17.5,3.3,156.2,16,0,0,0
303,10.5,2.9,58.1,18,0,0,0
674,24.5,3.3,264.8,26,0,0,0
300,23.2,3.4,105.3,12,0,0,0
402,10.9,4.6,96.5,26,1,0.04,0.21
539,16.8,4.6,112.2,28,1,0.04,0.18
404,20.1,2.7,163,18,0,0,0
2427,22.3,1.8,235.2,103,0,0,0
138,24.6,9.6,199,5,1,0.2,0.62
,,,,,,,
495,46.6,8.5,405.4,10,1,0.1,0.3
1439,42.4,11,373.1,33,5,0.15,0.34
674,24.5,3.3,264.8,26,0,0,0
495,46.6,8.5,405.4,10,1,0.1,0.3
367,11.6,2.5,73.3,27,0,0,0
1322,62.3,14.7,414.1,20,6,0.3,0.72
577,31.3,7.5,390.8,18,1,0.06,0.45
3403,28.4,5.7,252.7,114,9,0.08,0.24
819,9.1,1.8,106.1,89,0,0,0
1977,12.6,2.6,150.5,137,3,0.02,0.13
2900,9.1,2,90.3,276,0,0,0
577,31.3,7.5,390.8,18,1,0.06,0.45
323,13.3,3.5,131.8,20,0,0,0
932,36.4,7.5,268.8,24,2,0.08,0.3
212,12.1,4.1,112.3,16,1,0.06,0.33
2175,20.6,4.3,185.9,99,5,0.05,0.09
2597,24.8,6,143.8,96,7,0.07,0.53
932,36.4,7.5,268.8,24,2,0.08,0.3
2427,22.3,1.8,235.2,103,0,0,0
150,17.6,2.5,133.4,8,0,0,0
797,31.7,6.4,209.5,23,2,0.09,0.3
626,29.2,8,270.4,21,4,0.19,0.27
932,36.4,7.5,268.8,24,2,0.08,0.3
2900,9.1,2,90.3,276,0,0,0
150,17.6,2.5,133.4,8,0,0,0
25,19,1,174,1,0,0,0
2597,24.8,6,143.8,96,7,0.07,0.53
615,14.4,3.1,78.4,42,2,0.05,0.39
819,9.1,1.8,106.1,89,0,0,0
626,29.2,8,270.4,21,4,0.19,0.27
682,33.2,9,255.1,20,2,0.1,0.57
576,26.2,4.5,257.4,21,2,0.1,0.24
843,62,22.6,476.5,13,5,0.38,0.85
126,52,7,440,2,0,0,0
404,20.1,2.7,163,18,0,0,0
86,12,2,94.2,6,0,0,0
383,22.1,4,193.9,16,0,0,0
982,47.1,6.4,481.2,19,2,0.11,0.25
1979,8.5,2.3,66.2,178,2,0.01,0.05
1979,8.5,2.3,66.2,178,2,0.01,0.05
2461,9,3.4,57.6,269,10,0.04,0.17
3,0,0,0,1,0,0,0
1304,13,3.1,119.5,86,1,0.01,0.07
82,18,4,169,4,0,0,0
187,33,9.2,393.8,5,2,0.4,0.78
1048,33.1,3.5,366.8,29,1,0.03,0.28
618,26,5.5,153.3,20,2,0.1,0.62
305,24.1,2.9,206.8,11,0,0,0
1207,26.8,7.2,173.6,44,3,0.07,0.6
1060,52.6,10.9,425.5,19,5,0.26,0.51
964,52.6,9.3,735.6,18,5,0.28,0.66
49,8,1,75,1,0,0,0
199,0,0,0,1,0,0,0
1689,47.5,13,345,34,9,0.26,0.67
732,36.4,5.5,417.7,20,0,0,0
416,20.4,4.7,214.7,19,1,0.05,0.13
160,51.3,7,545.7,3,1,0.33,0.93
2461,9,3.4,57.6,269,10,0.04,0.17
109,13.3,2.1,129.1,7,0,0,0
86,12,2,94.2,6,0,0,0
224,0,0,0,1,0,0,0
109,13.3,2.1,129.1,7,0,0,0
386,22,5.1,180.7,16,1,0.06,0.28
1688,21.4,2.9,187,77,3,0.04,0.23
238,19.2,4.5,215,11,0,0,0
495,46.6,8.5,405.4,10,1,0.1,0.3
1825,39,4.2,447.6,46,2,0.04,0.15
212,12.1,4.1,112.3,16,1,0.06,0.33
507,27.2,7.1,221.8,18,1,0.06,0.58
818,44.7,11.9,363.6,17,4,0.24,0.54
